 Nature	 പ്രകൃതി
Stamping	മുദ്രപതിപ്പിക്കല്‍
Stamp	മുദ്രപത്രം
Stamp duty	മുദ്രയരക്ക്‌
Mudral Upanishad	മുദ്രല്‍ ഉപനിഷത്
Seal	മുദ്രാക്ഷരം
Stamp	മുദ്രാങ്കം
Slogan	മുദ്രാവാക്യം
Tip	മുന
Munakir	മുനകീർ
Cape	മുനമ്പ്
Munipatra	മുനിപത്ര
Muniyapakshi	മുനിയപക്ഷി
Sage's wife	മുനിയുടെ ഭാര്യ
Municipality	മുനിസിപ്പാലിറ്റി
Advance	മുന്കൂര്
Anger	മുന്കോപം
Precedent	മുന്ഗാതമി
Front	മുന്താണി
Grapes	മുന്തിരി
Grapes.	മുന്തിരി.
Grapes	മുന്തിരിങ്ങ
Front end	മുന്നഗ്രം
Front	മുന്നണിപട
Warning	മുന്നറിയിപ്പ്
Forward	മുന്നറ്റം
Without forethought	മുന്നാലോചനയില്ലാതെ
Leading	മുന്നിടല്‍
Before	മുന്നെ
Progress	മുന്നേറ്റം
Forward	മുന്നോടി
Three days old food	മുന്ന് ദിവസം പഴകിയ ഭക്ഷണം
Front	മുന്ഭാകഗം
Front	മുന്വശം
Front door.	മുന്വാതില്.
In the past	മുന്വാനതില്
Without prejudice	മുന്വിചാരമില്ലാതെ
Prejudice	മുന്വിധി
Unprejudiced	മുന്വിധികൂടാത്തത്
Foreshadowing	മുന്സയരിം
Munsif	മുന്സിഫ്
Prior permission	മുന്‍ അനുവാദം
Previous evidence	മുന്‍ കാല തെളിവുകള്
Former bull	മുന്‍ കാള
Priority order	മുന്‍ ഗണനാക്രമം
Pre-determined location	മുന്‍ നിശ്ചിതസ്ഥലം
Priority	മുന്‍ഗണന
Thirty-two teeth	മുപത്തിരണ്ട്പല്ലും
Thirty	മുപ്പത്
Thirty-five	മുപ്പത്തഞ്ച്
Thirty-six	മുപ്പത്താറ്
Thirty-four	മുപ്പത്തിനാല്
Thirty-three	മുപ്പത്തിമൂന്ന്
Thirty-five	മുപ്പത്തിയഞ്ച്
Thirty-six	മുപ്പത്തിയാറ്
Thirty-eight	മുപ്പത്തിയെട്ട്
Thirty-seven	മുപ്പത്തിയേഴ്
Thirty-one	മുപ്പത്തിയൊന്ന്
Thirty-nine	മുപ്പത്തിയൊന്പത്
Thirty-two	മുപ്പത്തിരണ്ട്
Thirty-eight	മുപ്പത്തെട്ട്
Thirty-seven	മുപ്പത്തേഴ്
Thirty-one	മുപ്പത്തൊന്ന്
Thirty-nine	മുപ്പത്തൊമ്പത്
Mumbaikar	മുബൈക്കാരന്‍
The previous year	മുമ്പിലത്തെ വര്ഷം
Govt	മുമ്പേ ഗമിക്കുന്ന ഗോവ്
Progress	മുമ്പോട്ടുള്ളഗതി
The rabbit.	മുയലു്.
Rabbit	മുയല്
Muraki	മുരകി
Rough behavior	മുരട്ടു സ്വഭാവം
Conflict	മുരണ്ട്
Muradabad	മുരദബാദ്
Muran	മുരന്‍
Murabba	മുരബ്ബ
Murala	മുരലാ
Growl	മുരളല്
Murali	മുരളി
The roaring cloud	മുരളുന്ന മേഘം
Grunt	മുരള്ച്ച
Murash	മുരശ്
മുരിങ്ങ.	മുരിങ്ങ.
Murukkin flower	മുരുക്കിന്‍ പൂവ്
Muraina	മുരൈന
Murtha	മുര്‍ത
Murdabad	മുര്‍ദാബാദ്
Murshidabad	മുര്‍ശിദാബാദ്
Mural	മുരൽ
Method	മുറ
Winnowing sieve	മുറം
മുറടന്	മുറടന്
Complaint	മുറവിളി
Room	മുറി
Rope used for cutting	മുറിക്കാൻ ഉപയോഗിക്കുന്ന കയർ
Cutlery	മുറിക്കുപ്പായം
Cutting tool	മുറിക്കുവാനുള്ള ഉപകരണം
Room ticket	മുറിചീട്ട്‌
Cut room	മുറിച്ചമുറി
Broken hand	മുറിഞ്ഞ്പോയ കൈ
Roommates	മുറിയിലുള്ളവര്
Cutting	മുറിയ്ക്കല്
Wound	മുറിവ്
Wound	മുറിവ്‌
Tightening / pulling	മുറുക്കം/വലിച്ചില്‍
Tightening	മുറുക്കല്
To tighten	മുറുക്കാന്
Tighten	മുറുക്കാന് ചെല്ലം
Spit to tighten	മുറുക്കാന് തുപ്പലം
Merchant to tighten.	മുറുക്കാന്‍ കച്ചവടക്കാരന്.
The merchant's wife to tighten	മുറുക്കാന്‍ കച്ചവടക്കാരന്റെ ഭാര്യ
Merchant to tighten	മുറുക്കാന്‍ കച്ചവടക്കാരി
Guys to tighten	മുറുക്കാന്‍ സഞ്ചി
To tighten	മുറുക്കാൻ
Tightness	മുറുവല്
Yard.	മുറ്റം.
Breast	മുല
Breast.	മുല.
Breasts	മുലകള്
Nipple	മുലക്കണ്ണു
Nipple	മുലക്കാമ്പു
Nipple.	മുലത്തടം.
Mammalian organism	മുലയൂട്ടുന്ന ജീവി
Mulla	മുല്ല
Bamboo	മുള
Small bowl with bamboo	മുള കൊണ്ടുള്ള ചെറുപാത്രം
Knock with bamboo.	മുള കൊണ്ടുള്ള തട്ടി.
Bamboo pot Belahara	മുള പാത്രം ബെലഹര
Bamboo	മുളംകുഴല്
Bamboo shoots	മുളകൊട്ടി
Chili	മുളക്
Bowl of chili	മുളക് പാത്രം
Chili.	മുളക്.
Bamboo	മുളങ്കണ്ണ്
Bamboo shoots	മുളങ്കിണ്ണം
Bamboo	മുളങ്കുന്തം
Bamboo	മുളങ്കുറ്റി
Bamboo basket	മുളങ്കൊട്ട
Bamboo shoots	മുളചീയൽ
Bamboo shoots	മുളപൊട്ടല്‍
Bamboo	മുളമ്പായ
Bamboo shoots	മുളയരി
Bunch of bamboo	മുളയുടെ കൂട്ടം
Germination	മുളയ്ക്കല്
Bamboo shoots	മുളവരല്
Sprouts	മുളവിത്തു്‌
Fork	മുള്ക്കരണ്ടി
Thorn	മുള്ക്കുത്തി
Thorn	മുള്ചെടി
Multanamitti	മുള്ട്ടാനമിട്ടി
Bush	മുള്പടര്പ്പ്
Bush	മുള്പ്പടര്പ്പ്
Radishes	മുള്ളങ്കി
Radish tuber.	മുള്ളങ്കി കിഴങ്ങു.
Radishes.	മുള്ളങ്കി.
Radish	മുള്ളങ്കിച്ചെടി
Hedgehog pig.	മുള്ളന്‍ പന്നി.
Hedgehog	മുള്ളന്‍മുള
Hedgehog	മുള്ളമ്പഴം
Hedgehog	മുള്ളാണി
Thorns	മുള്ളുമ്പഴം
A thorny plant	മുള്ളുള്ള ഒരു തരം ചെടി
Thorn	മുള്ള്
Swelling	മുഴ
Roots with tumors	മുഴകളോട് കൂടിയ വേര്
Noise	മുഴക്കം
Noise.	മുഴക്കം.
Knee	മുഴങ്കാല്‍
Stop	മുഴച്ച് നില്ക്കല്
Tuber	മുഴപ്പു്
മുഴിപ്പു⁇	മുഴിപ്പു്‌
Immersed appearance	മുഴുകിയ ഭാവം
Full	മുഴുക്കുടം
മുഴുക്കുടിയന്	മുഴുക്കുടിയന്
Immersion	മുഴുകൽ
The whole goat	മുഴുത്ത ആട്
Full charge	മുഴുവന്‍ തുകയും ഈടാക്കല്
The whole part	മുഴുവന്‍ ഭാഗവും
Musk donation	മുശ്കദാന
Mushjjar	മുശ്ജ്ജര്‍
Boredom	മുഷിച്ചില്
Boredom	മുഷിച്ചില്‍
Dirty changed clothes	മുഷിഞ്ഞു മാറ്റിയ വസ്ത്രം
Boredom	മുഷിവു
Mushka	മുഷ്കം
For Mushkab	മുഷ്കബിനായി
Fist	മുഷ്ടി
Fist blow	മുഷ്ടി കൊണ്ടുള്ള പ്രഹരം
Fist fight	മുഷ്ടി യുദ്ധം
Fist.	മുഷ്ടി.
Fist clenched	മുഷ്ടിചുരുട്ടിയുള്ളയിടി
Boxing	മുഷ്ടിയുദ്ധം
Fist	മുഷ്ഠി
Mozambique	മുസംബി
Musabbar	മുസബ്ബര്
Musali	മുസലി
Musalika	മുസലിക
Mustafa	മുസ്താദം
Musmar	മുസ്മര്‍
Muslim	മുസ്ലീം
Mosque.	മുസ്ളീം പള്ളി.
Place of worship of the Mohammedans	മുഹമ്മദീയരുടെ ആരാധനാ സ്ഥലം
Prophet Muhammad	മുഹമ്മദ്നബി
Muharram	മുഹറം
Muhurta Pooja	മുഹൂര്ത്ത പൂജ
Moment	മുഹൂര്ത്തം
Advance wages	മുൻ കൂറായി കൊടുക്കുന്ന കൂലി
Front ring	മുൻ വള
Previous year	മുൻ വർഷം
Front tooth	മുൻപല്ല്
Murdasankha	മുർദാസംഖ
Multanis	മുൾട്ടാനികൾ
Snoring	മൂംഛി
മൂണ്ടഡ	മൂംദഡ
Dumb	മൂക
Noise	മൂകത
Dumb	മൂകന്
Nasal congestion	മൂക്കടപ്പ്
The hole at the tip of the nose	മൂക്കിന്റെ അറ്റത്തെ തുള
Bridge of the nose	മൂക്കിന്റെ പാലം
Nose powder	മൂക്കിപ്പൊടി
Nose	മൂക്കിള
Nose glasses	മൂക്കുകണ്ണട
Nose mirror.	മൂക്കുകണ്ണാടി.
Nose rope	മൂക്കുകയര്‍
Sniffle	മൂക്കുകയറ്‌
Nosebleeds	മൂക്കുകുത്തൽ
Nosebleed	മൂക്കുചപ്പി
Nasal congestion.	മൂക്കുചെളി.
Nose	മൂക്കുത്തി
Nose.	മൂക്കുത്തി.
Nasal congestion	മൂക്കൊലിപ്പ്
Nose rope	മൂക്ക് കയര്
Flute playing with the nose	മൂക്ക് കൊണ്ട് വായിക്കുന്ന പുല്ലാങ്കുഴല്
Runny nose	മൂക്ക് പഴുക്കല്
Nose guys	മൂക്ക് സഞ്ചി
The owl.	മൂങ്ങ.
Closing	മൂടല്
Fog	മൂടല് മഞ്ഞു
Overcast and snow	മൂടല്‍ മഞ്ഞ്
Covered	മൂടി
Covered snow	മൂടിക്കിടക്കുന്ന മഞ്ഞു
Uncovered page	മൂടില്ലാ താളി
Closing	മൂടിവയ്ക്കല്
Covering material	മൂടുന്നവസ്തു
The veil	മൂടുപടം
Cover	മൂട്
bed bug	മൂട്ട
Stupid	മൂഢത
Superstitions	മൂഢവിശ്വാസങ്ങള്
Elder groom	മൂത്ത അളിയന്
Elder beetle	മൂത്ത വെറ്റിലക്കൊടി
Elder brother	മൂത്തസഹോദരന്‍
Urinary tract	മൂത്ര നാളം
Urinary incontinence	മൂത്ര മേഹം
Urinary incontinence	മൂത്രം മുട്ടല്
Urine.	മൂത്രം.
Urinary stones	മൂത്രക്കല്ല്
Urinary incontinence	മൂത്രതടസം
Urinary tract	മൂത്രനാളം
Urinal	മൂത്രപ്പുര
Urinary tract infections	മൂത്രരോഗം
Urinary incontinence	മൂത്രശങ്ക
Bladder	മൂത്രസഞ്ചി
Bladder	മൂത്രാശയം
Third day ceremony	മൂന്നം നാള് ചടങ്ങ്
Third time plowing	മൂന്നാം തവണയും നടത്തുന്ന ഉഴുവല്
Third date	മൂന്നാം തീയതി
On the third day	മൂന്നാം ദിവസത്തെ
Third fever	മൂന്നാം പനി
Third Yam	മൂന്നാം യാമം
Third Class	മൂന്നാംക്ലാസ്സ്
Third type	മൂന്നാംതരം
Third	മൂന്നാമന്‍
Three bed	മൂന്നിഴ കട്ടില്‍
Three-stringed harp	മൂന്നു തന്ത്രിയുള്ള വീണ
Three times plowed land	മൂന്നു തവണ ഉഴുത നിലം
Three door room	മൂന്നു വാതിലുള്ള മുറി
Three times	മൂന്നുമടങ്ങ്
Three	മൂന്ന്
Veena with three strings	മൂന്ന് തന്ത്രി ഉള്ള വീണ
Three-point lot	മൂന്ന് പുള്ളി ചീട്ട്
House with three doors	മൂന്ന് വാതിലുകള്‍ ഉള്ള വീട്
Three worlds	മൂന്ന്ലോകങ്ങള്
Elderly	മൂപ്പവകാശം
Elder	മൂപ്പ്
Mural	മൂരല്
Moore	മൂരി
മൂരിക്കുട്ടി	മൂരിക്കുട്ടി
മൂരിനിവരല്	മൂരിനിവരല്
Coward.	മൂര്ഘന്.
Sharp	മൂര്ച്ച
Sharp weapon	മൂര്ച്ചയുള്ള ആയുധം
Sharp	മൂര്ച്ച്
Murthy	മൂര്ത്തി
Embody	മൂര്ത്തീകരിക്കുക
Mortality	മൂര്ദ്ധന്യാവസ്ഥ
മൂർധാരവു⁇	മൂര്ധാരവു്‌
Moisture	മൂറ്റല്‍
Source	മൂല
The original city	മൂല നഗരം
Due to	മൂലം
Due to the star	മൂലം നക്ഷത്രം
The root star	മൂലംനക്ഷത്രം
Element	മൂലകം
root cause	മൂലകാരണം
Stem cell	മൂലകോശം
Cornerstone	മൂലക്കല്ല്
Hemorrhoids.	മൂലക്കുരു.
Principle	മൂലതത്ത്വം
Principle	മൂലതത്വം
Capitalist	മൂലധന സൂക്ഷിപ്പുകാരന്‍
Capital	മൂലധനം
The capital	മൂലനഗരം
The original mantra	മൂലമന്ത്രം
Origin	മൂലസ്ഥാനം
Source	മൂലാധാരം
Root	മൂലി
Evaluation	മൂല്യ നിര്ണ്ണയം
Value	മൂല്യം
Evaluation	മൂല്യനിര്ണ്ണയം
Evaluation	മൂല്യനിര്‍ണ്ണയം
Depreciation	മൂല്യശോഷണം
Evaluation	മൂല്യാങ്കനം
Corner	മൂള
Corner	മൂളല്
Thirty	മൂവന്തി
Three	മൂവര്
Mover team	മൂവര്‍ സംഘം
Mouse closure	മൂശയടുപ്പ്
മൂശയടുപ്പ്⁇	മൂശയടുപ്പ്‌
Mushari	മൂശാരി
Mushroom work	മൂശാരിപ്പണി
മൂഷം	മൂഷം
Mouse	മൂഷിക
Mousetrap	മൂഷികപര്‍ണ്ണി
Sharp	മൂർച്ച
Sharp weapon	മൂർച്ചയുള്ള ആയുധം
Sharp	മൂർച്ഛ
The one who tied the three	മൂ‍ന്ന് കെട്ടിയവൻ
മൃകണ്ട്മുനി	മൃകണ്ട്മുനി
Veterinarian	മൃഗ ചികിത്സകന്
Veterinarian	മൃഗ ഡോക്ടര്‍
Animal care	മൃഗ പരിപാലനം
Animal disease	മൃഗ രോഗം
Animal care	മൃഗ സംരക്ഷണം
The animal	മൃഗം
A forest full of animals	മൃഗങ്ങള് നിറഞ്ഞ കാട്
Veterinary medicine	മൃഗചികിത്സ
The child of the beast.	മൃഗത്തിന്റെ കുട്ടി.
The horn of an animal	മൃഗത്തിന്റെ കൊമ്പു്‌
Animal vision	മൃഗദൃഷ്ടി
Beast	മൃഗദ്വിട്ട്
Animal cruelty	മൃഗധൂർത്തകം
The beast	മൃഗപതി
The beast	മൃഗമത്തകന്‍
Beast	മൃഗയ
Beast King	മൃഗരാജന്
Beast King	മൃഗരാജന്‍
King of beasts	മൃഗരാജാവു്‌
King of the Beast	മൃഗരാജാവ്
Beast	മൃഗരിപു
Animal	മൃഗവ്യം
Zoo	മൃഗശാല
Animal carcass	മൃഗശാവകം
Zoology	മൃഗസംരക്ഷണശാസ്ത്രം
Animal life	മൃഗാജീവം
Animal life	മൃഗാജീവന്‍
Animal feeding	മൃഗാദനം
The beast	മൃഗാദനന്‍
The beast	മൃഗാധിപന്
Animal master	മൃഗാധിപന്‍
Beast King	മൃഗാധിരാജന്‍
Beast	മൃഗാരറ്റിക
The beast	മൃഗാരി
The beast	മൃഗാശന്
Animal	മൃഗാസനന്
Bestiality	മൃഗീയത
Bestiality	മൃഗീയാവസ്ഥ
Animal	മൃഗേന്ദ്രന്
Mrigendran	മൃഗേന്ദ്രന്‍
Mridan	മൃഡന്
Dead tissue	മൃത കോശം
Dead	മൃതകം
The corpse	മൃതദേഹം
Autopsy	മൃതദേഹപരിശോധന
Deadly disease	മൃതപാണ്ടു രോഗം
Dead body	മൃതശരീരം
Dead life	മൃതസന്‍ജീവനി
Mritumjaya tincture	മൃതുംജയ കഷായം
Earth	മൃത്തിക
Dead	മൃത്തു
Death	മൃത്യു
Fear of death	മൃത്യു ഭയം
മൃത്യുഞ്ജയന്	മൃത്യുഞ്ജയന്
Death	മൃത്യ്‌
Mridangam	മൃദംഗം
Soft reader	മൃദംഗവായനക്കാരന്
Soft water	മൃദു ജലം
Softness	മൃദുത്വം
Soft	മൃദുലം
Soft animal fur	മൃദുലമായ മൃഗരോമം
Gently press	മൃദുവായി അമര്ത്തുക
Gently touch	മൃദുവായി സ്പര്ശിക്കുക
Soft	മൃധം
Taurus	മൃഷം
മൃഷാധ്യായി	മൃഷാധ്യായി
Animalism	മൃഷാവാദം
Mekong River	മെകോംഗ് നദി
Mecca	മെക്ക
Makeup	മെക്കപ്പ്
Mechanic	മെക്കാനിക്ക്
Mexican peso	മെക്കിസ്കന്‍ പെസൊ
Mexico	മെക്സിക്കൊ
Mexico City	മെക്സിക്കൊസിറ്റി
Mexican	മെക്സിക്കോക്കാരന്
Megabyte	മെഗാബൈറ്റ്
MW	മെഗാവാട്ട്
Megaheads	മെഗാഹെഡ്സ്
Cloudbow‌	മെഘവില്ലു്‌
Metro station	മെട്രോ സ്റ്റേഷന്
Medal list	മെഡല്‍ പട്ടിക
Medical Officer	മെഡിക്കല്ഓഫീസര്
Threshing	മെതിക്കല്
Threshing	മെതിയടി
Mattress	മെത്ത
Menu card	മെനുകാര്ഡ്
Mail cart	മെയില്‍ വണ്ടി
May	മെയ്
May.	മെയ്ത്തൊഴില്.
May end	മെയ്യറുതി
Merakan	മെരകന്‍
Merat	മെരട്ട്
Taming	മെരുക്കൽ
Mercury	മെര്ക്കുറി
Maryland	മെറിലാന്ഡ്
Metal	മെറ്റല്
Metal Road	മെറ്റല് റോഡ്
MetalDetect	മെറ്റല്ഡിറ്റക്റ്റ്
Melichil	മെലിച്ചില്
Melichil	മെലിച്ചില്‍
Slowly	മെല്ലെ
Slow crossing	മെല്ലെ കടക്കൽ
Wax	മെഴുകല്
Waxy soil	മെഴുകിയ മണ്ണ്
Around the candle	മെഴുകുതിരി പ്രദക്ഷിണം
The candle.	മെഴുകുതിരി.
Wax paper	മെഴുകുപേപ്പര്
Wax	മെഴുക്
Wax wages	മെഴുക് കൂലി
Wax	മെഴുക്ക്
Fat	മെഴുപ്പു്‌
Mewada Raga	മെവാട രാഗം
Mewadi	മെവാടി
Machine	മെഷീന്‍
Mesu	മെസൂ
Mesopotamia	മെസൊപ്പൊട്ടാമിയ
Meskel	മെസ്കല്‍
Mehtar	മെഹതർ
Mehala	മെഹല
City of Mehsana	മെഹസാന നഗരം
Mehsana Nagar	മെഹസാനനഗരം
May May	മേ മേ
Cloud	മേക്കം
മേക്കമ്മല്	മേക്കമ്മല്
Region	മേഖല
Cloud Sagittarius	മേഘ ധനുസ്സു്‌
Megha Malhar	മേഘ മല്‍ഹാര്‍
Cloud	മേഘം
Cloudy	മേഘകമാനം
Thunderstorm	മേഘഗർജ്ജനം
Outside the clouds	മേഘങ്ങള്ക്കിപ്പുറത്തുള്ളതു്‌
Cloud lamp	മേഘദീപം
Cloud cover	മേഘനാട
Meghnadan	മേഘനാദന്
Meghnadanulasi	മേഘനാദാനുലാസി
Cloudburst	മേഘബാണം
Meghamalhar	മേഘമൽഹാർ
Cloud cover	മേഘരാഗം
Cloud noise	മേഘശബ്ദം
Meghalaya resident	മേഘാലയവാസി
Meghalaya resident	മേഘാലയൻ നിവാസി
Cloud	മേചകം
Grazing tax	മേച്ചില് കരം
Pasture.	മേച്ചില് സ്ഥലം.
Grazing land	മേച്ചില്‍ ഭൂമി
Pasture	മേച്ചിൽ
Cloudy face	മേച്ഛമുഖം
Medum Rashi	മേടം രാശി
Medaka District	മേടക ജില്ല
Harvest	മേടകൊയ്ത്ത്
Aries	മേടരാശി
മേടു⁇	മേടു്‌
Upland soil	മേട്ടിലെ മണ്ണ്
മേട്⁇	മേട്‌
Medhi	മേഠി
Medram	മേഡ്രം
Madrid	മേഡ്രിഡ്
Mathi Kulchi	മേഥി കുല്ചീ
Fat.	മേദസ്സു്.
Medini	മേദിനി
Medinipuram	മേദിനിപുരം
Medha	മേധ
Medham	മേധം
Medhauri	മേധൌരി
Medium	മേധ്യം
Menaka	മേനക
Menaka Gandhi	മേനക ഗാന്ധി
Menadam	മേനാദം
May	മേനി
May.	മേനി.
Quality	മേന്മ
Mayal	മേയല്‍
Mail wages	മേയല്‍ കൂലി
Grazing animal	മേയുന്ന മൃഗം
Feeding	മേയുന്നത്
Shepherd	മേയ്ക്കുന്നവന്
Feeding wages	മേയ്ക്കൽ കൂലി
Mayal	മേയൽ
Meru mountain	മേരു പർവ്വതം
The spine	മേരുദണ്ഡു്
Top	മേലഗ്രം
Coat	മേലങ്കി
Supremacy	മേലധികാരം
Boss	മേലധികാരി
Boss.	മേലധികാരി.
Investigator	മേലന്വേഷകന്
Investigator.	മേലന്വേഷകന്.
Top	മേലറ്റം
Supremacy	മേലാളവർഗ്ഗം
No more	മേലാള്
And above	മേലു്‌
Above	മേലെയുള്ള
Staircase	മേല്കട്ടിള പടി
No more	മേല്ക്കാതു
The wall above the roof	മേല്ക്കൂരയ്ക്ക് മുകളിലെ ഭിത്തി
Supervision	മേല്നോട്ടം
Supervisor	മേല്നോട്ടക്കാരന്
Supervisor	മേല്നോട്ടക്കാരന്‍
Top	മേല്ഭാഗം
Above	മേല്മുണ്ട്
Outerwear	മേല്വസ്ത്രം
Supervisor	മേല്വിചാരക്കാരന്‍
Address	മേല്വിലാസം
Address	മേല്വിലാസക്കാരന്
Roof	മേല്‌പുര
Upper court	മേല്‍ കോടതി
Address above	മേല്‍ വിലാസം
The upper bouts featured two cutaways, for easier access to the higher frets	മേല്‍ഭാഗം തുറന്ന നാലുരുള്‍ ഇരട്ടക്കുതിരവണ്ടി
Fair	മേള
മേളക്കാരന്	മേളക്കാരന്
Mewad	മേവാഡ്
Table	മേശ
Tablecloth	മേശവിരി
Mesiri	മേശിരി
Aries	മേഷം
Aries	മേഷരാശി
Mesthiri	മേസ്തിരി
Masterpiece	മേസ്തിരിപ്പണി
Mehr	മേഹര്
Roof	മേൽക്കൂര
Wages for roofing	മേൽക്കൂരമേയുന്നതിനുള്ള കൂലി
Has over	മേൽമുണ്ട്
Coat	മേൽവസ്ത്രം
Overlay	മേൽ‌പ്പടി
In the mind drill	മൈംഡ്രില്‍
Micah	മൈകാക
Mike	മൈക്ക്
Microbes	മൈക്രോബ്സ്
Microscope	മൈക്രോസ്കോപ്
Ground	മൈതാനം
And the ground	മൈതാനും
Maitrayani Upanishad	മൈത്രായണി ഉപനിഷത്
Alliance	മൈത്രി
Maitreya Upanishad	മൈത്രേയ ഉപനിഷത്
Mythili	മൈഥിലി
Mythilic	മൈഥിലിക്കാരൻ
Maida	മൈദ
Myna	മൈന
Mynapuri	മൈനപുരി
Mynapur District	മൈനപുര്‍ ജില്ല
Mynakam	മൈനാകം
Maiden	മൈന്ദൻ
Minefor	മൈന്ഫുര്
Battle of Myrathan	മൈരാഥന്‍ യുദ്ധം
Henna	മൈലാഞ്ചി
Henna powder	മൈലാഞ്ചി പൊടി
Henna application	മൈലാഞ്ചിയിടല്‍
Mileage	മൈലേജ്
Miles	മൈല്
Miles.	മൈല്.
Mile pegs	മൈല്‍ കുറ്റി
Mysore Palace	മൈസൂര്കൊട്ടാരം
Mysore Palace	മൈസൂര്പാലസ്
Mysore	മൈസൂര്‍
Mongol	മൊംഗാലെ
Mokamaram	മൊകാമരം
Mogadishu	മൊഗാദിശു
Mogara	മൊഗാര
Mocharas	മൊചരസ്
Monch	മൊഞ്ച്
Barren land	മൊട്ടക്കുന്നായ ഭൂമി
Baldness	മൊട്ടത്തല
മൊട്ടു⁇	മൊട്ടു്‌
Montineer	മൊണ്ടിനീര്
Wholesaler	മൊത്ത വ്യാപാരി
Total	മൊത്തം
And the whole part	മൊത്തം ഭാഗവും
total amount	മൊത്തംതുക
In total	മൊത്തംമാര്ക്ക്
Wholesaler	മൊത്തകച്ചവടക്കാരന്
Wholesaler	മൊത്തക്കച്ചവടക്കാരന്
Wholesaler	മൊത്തവില്പനക്കാരന്
Wholesale market	മൊത്തവ്യാപാര വിപണി
Moneko	മൊനെക്കൊ
In Monaco	മൊനൈകൊ വിലെ
Blunt	മൊന്ത
Mobile	മൊബൈല്‍
Momin	മൊമിനി
Morangi	മൊരംഗി
Moricharotti	മൊരിച്ചറൊട്ടി
Morichil	മൊരിച്ചില്‍
Moriel	മൊരിയൽ
Morji Desai	മൊറര്‍ജി ദേശായി
Morocco	മൊറോക്കോ
Moroccan Dirham	മൊറോക്കോ ദിര്ഹം
Knee	മൊളങ്കാൽ
Statement	മൊഴി
Statement.	മൊഴി.
Translation.	മൊഴിമാറ്റം.
Translated work	മൊഴിമാറ്റിയ കൃതി
മോഷടന്	മൊശടന്
Mozambique	മൊസംബിക്
Republic of Mozambique	മൊസംബിക് റിപ്പബ്ലിക്ക്
Mozambique	മൊസാംമ്പി
Mosul	മൊസൂള്
Mosaic	മൊസേക്ക്
Mosaic laying	മൊസേക്ക് ഇടല്
Mohar	മൊഹര്
Mohar-mala	മൊഹര്‍-മാല
Mohala song	മൊഹല ഗാനം
Moksha	മോക്ഷം
Desire for Moksha Mukti: “Mukti is what drives man to penance	മോക്ഷം	മുക്തിക്ക് ഉള്ള ആഗ്രഹം:"മുക്തി ആണ് മനുഷ്യനെ തപസിന് പ്രേരിപ്പിക്കുന്നത്
Moksha.	മോക്ഷം.
The liberating Ekadashi	മോക്ഷദായക ഏകാദശി
Mokha	മോഖ
Mongal	മോങ്ങൽ
Release	മോചനം
Ransom	മോചനദ്രവ്യം
Motilip	മോടിലിപി
Motor vehicle.	മോട്ടര്‍ വാഹനം.
Moto	മോട്ടോട്
Motor boat	മോട്ടോര്‍ ബോട്ട്
Modeling	മോഡലിംഗ്
Model	മോഡല്
Moh	മോഢ
Inflammation of the gums	മോണ വീക്ക
Inflammation of the gums	മോണ വീക്കം
Gum.	മോണ.
Gingivitis	മോണവീക്കം
Monitor	മോണിറ്റര്
Monitor	മോണീറ്റര്
Motha	മോത
The next finger of the ring finger	മോതിര വിരലിന്റെ അടുത്ത വിരല്
Ring finger.	മോതിര വിരല്.
Ring	മോതിരം
Ring.	മോതിരം.
Motibhat	മോത്തിഭാത്
Motilal Nehru	മോത്തിലാല്‍നെഹ്രു
Modak	മോദകം
Monrovia	മോനരോവിയ
Monta	മോന്ത
Moped	മോപ്പഡ്
Mora	മോര
Morin water.	മോരിന്വെ‍ള്ളം.
Moru	മോരു്‌
Morch	മോര്ച്ച്
Morphology	മോര്‍ഫോളജി
Mor	മോറ്
മോല്ദോതക്കാരൻ	മോല്ദോതക്കാരന്‍
Moldova	മോല്ദോവായി
Moldova	മോല്‍ദോവ
Molybdenum	മോളിബിഡിനം
Molywood	മോളീവുഡ്
Mozha	മോഴ
Bad thinking	മോശം ചിന്ത
Not bad	മോശമല്ലാത്ത
Bad behavior	മോശമായ പെരുമാറ്റം
Bad method	മോശമായ രീതി
Bad way	മോശമായ വഴി
Theft	മോഷണം
Theft	മോഷണവിദ്യ
Thief	മോഷ്ടാവ്‌
Moscow	മോസ്കോ
Muscovite	മോസ്കോക്കാരന്‍
Lust	മോഹം
Seductive dance	മോഹന നൃത്തം
Mohanamala	മോഹനമാല
Mohan Bhog	മോഹന്‍ ഭോഗ്
Desireless	മോഹമില്ലാത്ത
Mohini Ekadashi	മോഹിനി ഏകാദശി
Mohiniyattam	മോഹിനിയാട്ടം
Moukali	മൌകലി
Mountain video	മൌണ്ടവിടിയൊ
Mount Abu	മൌണ്ട് ആബൂ
Silent fasting	മൌന വ്രതം
Silence	മൌനജപം
Silent new moon	മൌനി അമാവാസി
Mauri	മൌരി
Maur	മൌര്
Maurya period	മൌര്യകാലഘട്ടം
Maurvia	മൌര്വിയാ
Mauritania	മൌറിടാനിയ
Mauritanian	മൌറിടാനിയക്കാരന്‍
Mauritius Rs	മൌറിഷ്യസ് രൂപ
Mauritian	മൌറീഷ്യസുകാരന്‍
Mauritius	മൌറീഷ്യസ്
Mauritius resident	മൌറീഷ്യസ് നിവാസി
